source_type,product_id,product_name,periodo,cantidad_predicha,prediccion_min,prediccion_max,confianza_prediccion,requiere_revision,recomendacion_decision,estado_producto,es_estacional,meses_estacionales,error_absoluto_total,wape_producto,prioridad_revision,criterio_experto,cantidad_ajustada_experto,motivo_ajuste,responsable_revision
PP,PP_5b6be211d3,ENG CLAVO OLOR DISP X 10 (0.25),2026-03-01,53168.79,49231.69,57105.89,alta,True,revisar antes de ordenar,activo,False,"septiembre, octubre, noviembre",4065.2907972596386,0.0740490127005398,alta,,,,
PP,PP_d46122f2a0,ENG SAZONADOR DISPLAY X 15 ($0.,2026-03-01,47249.77,44167.8,50331.74,alta,True,revisar antes de ordenar,activo,False,"septiembre, agosto, noviembre",3177.8695928027937,0.0652272083908619,alta,,,,
PP,PP_13446f5786,ENG ANIS ESPANOL DP X 15 (0.10),2026-03-01,44834.64,40051.46,49617.82,alta,True,revisar antes de ordenar,activo,True,"enero, febrero, agosto",5771.655028540597,0.1066849358325433,alta,,,,
PP,PP_d665ef4ceb,ENG CALDO DE GALLINA 8GR,2026-03-01,44804.5,40686.94,48922.06,alta,True,revisar antes de ordenar,activo,False,"noviembre, agosto, septiembre",4314.002338263488,0.091900693158866,alta,,,,
PP,PP_78d0591ed5,ENG CANELA MOLIDA DISP X 10 (0.,2026-03-01,44652.88,42121.05,47184.71,alta,True,revisar antes de ordenar,activo,False,"enero, agosto, septiembre",3606.138934781109,0.0567002977166841,alta,,,,
PP,PP_7c1642fbdc,ENG OREGANO DP X 30 (0.10),2026-03-01,43041.11,39343.39,46738.83,alta,True,revisar antes de ordenar,activo,False,"julio, enero, agosto",6885.791537232224,0.0859113105081999,alta,,,,
PP,PP_ee2464956a,ENG LEVADURA DISPLAY X 10(0.30),2026-03-01,39630.37,37263.74,41997.0,alta,True,revisar antes de ordenar,activo,False,"enero, julio, agosto",2651.462059782883,0.0597176139590739,alta,,,,
PP,PP_362c8a69e7,AJO PASTA (PARA CONDIMENTOS),2026-03-01,39390.51,36071.9,42709.12,alta,True,revisar antes de ordenar,activo,True,"noviembre, octubre, septiembre",4899.577751780056,0.0842488780483536,alta,,,,
PP,PP_b55f2acb6f,* CHIMICHURRI KILOS GRANEL,2026-03-01,38971.94,35399.98,42543.9,alta,True,revisar antes de ordenar,activo,True,"noviembre, febrero, abril",4334.902743940867,0.0916547434019973,alta,,,,
PP,PP_ab02ef2d26,ENG COMINO MOLIDO DP X 30 (0.10,2026-03-01,32167.99,30937.97,33398.01,alta,True,revisar antes de ordenar,activo,False,"julio, octubre, enero",1836.5406058016615,0.0382373642682003,alta,,,,
