source_type,product_id,product_name,estado_producto,es_estacional,meses_estacionales,ultima_actividad,stock_actual,stock_minimo,stock_maximo,lead_time_dias,lote_minimo_produccion,observacion
PT,PT_6337,* LOCRO DE PAPAS 70GR (6337),activo,False,"noviembre, mayo, julio",2026-03-01,,,,,,
PT,PT_4029,* MOSTAZA FRASCO DE 300 GRS.(4029),activo,False,"enero, agosto, diciembre",2026-03-01,,,,,,
PT,PT_1132,* PAPA ONDULADA CREMA CEBOLLA  FUNDA 20G (1132),activo,False,"mayo, octubre, diciembre",2026-03-01,,,,,,
PT,PT_1194,* PAPA ONDULADA CREMA CEBOLLA  FUNDA 90G (1194),activo,True,"noviembre, febrero, diciembre",2026-03-01,,,,,,
PT,PT_5965,* PICAJIN FRASCO 75G (5965),activo,False,"marzo, octubre, noviembre",2026-03-01,,,,,,
PT,PT_1170,* PICATODO MIX 20 GR (1170),inactivo,True,"diciembre, enero",2025-01-01,,,,,,
PT,PT_5781,* POLVO DE HORNEAR DISPLAY X 10 ($0.25)(5781),activo,False,"junio, abril, agosto",2026-03-01,,,,,,
PT,PT_8295,"* POLVO DE HORNEAR DISPLAY X 15 ($0,15)(8295)",activo,False,"junio, enero, julio",2026-03-01,,,,,,
PT,PT_2186,* POLVO DE HORNEAR FCO 60G (2186),activo,False,"septiembre, octubre, diciembre",2026-03-01,,,,,,
PT,PT_2926,* POLVO DE HORNEAR KILO (2926),activo,False,"julio, mayo, junio",2026-03-01,,,,,,
PT,PT_0909,* POLVO HORNEAR DISPLAYX30(0909,inactivo,False,"marzo, enero, febrero",2023-03-01,,,,,,
PT,PT_7304,* SAL AHUMA FCO 70G(7304),activo,False,"enero, septiembre, febrero",2026-03-01,,,,,,
PT,PT_1134,* SAL AHUMADA FCO LINEAL 140G(1134),activo,False,"enero, marzo, diciembre",2026-03-01,,,,,,
PT,PT_8066,* SAL AHUMADA KILO (8066),activo,False,"septiembre, enero, octubre",2026-03-01,,,,,,
PT,PT_2155,* SAL HIMALAYA FINAS H DOYPACK 200G(2155),activo,False,"enero, octubre, marzo",2026-03-01,,,,,,
PT,PT_0823,* SAL MARINA FIN HIERB FCO 70G(0823),activo,False,"febrero, marzo, enero",2026-03-01,,,,,,
PT,PT_8004,* SAL PARRILL CON ESPECIES KL (8004),activo,False,"enero, febrero, julio",2026-03-01,,,,,,
PT,PT_9704,* SAL PARRILLERA FINAS HIERBAS FCO LINEAL 180G(9704),activo,False,"enero, marzo, febrero",2026-03-01,,,,,,
PT,PT_8479,* SALSA CHINA 110G (8479),activo,False,"marzo, mayo, enero",2026-03-01,,,,,,
PT,PT_8486,* SALSA CHINA 225G (8486),activo,False,"marzo, enero, octubre",2026-03-01,,,,,,
PT,PT_1593,* SALSA DE AJí 230G (1593),activo,False,"enero, marzo, febrero",2026-03-01,,,,,,
PT,PT_5088,* SALSA DE CIRUELA 200GR (5088),activo,True,"diciembre, noviembre, octubre",2026-01-01,,,,,,
PT,PT_6344,* SALSA DOYPACK MOSTAZA Y MIEL 200G(6344),activo,False,"noviembre, diciembre, octubre",2026-03-01,,,,,,
PT,PT_6009,* SALSA GOLF DOYPACK 200G (6009),activo,False,"enero, diciembre, julio",2026-03-01,,,,,,
PT,PT_2285,* SAZON COMPLETA  1 KL(2285),activo,False,"diciembre, enero, marzo",2026-03-01,,,,,,
PT,PT_4419,* SAZON COMPLETA BALDE 4KL(4419),activo,False,"febrero, agosto, enero",2026-03-01,,,,,,
PT,PT_8615,* SAZON COMPLETA BOT 310 G (8615),activo,False,"marzo, diciembre, enero",2026-03-01,,,,,,
PT,PT_4303,* SAZON COMPLETA BOT380GR(4303),activo,False,"diciembre, noviembre, marzo",2026-03-01,,,,,,
PT,PT_4297,* SAZON COMPLETA BOT500GR(4297),activo,False,"octubre, diciembre, marzo",2026-03-01,,,,,,
PT,PT_7013,* SAZON COMPLETA DOYPACK 180 G (7013),activo,True,"diciembre, marzo, enero",2026-03-01,,,,,,
PT,PT_4327,* SAZON COMPLETA FUNDA 200GR(4327),activo,False,"marzo, diciembre, agosto",2026-03-01,,,,,,
PT,PT_5309,* SAZON COMPLETO GALON 3.7 KG (5309),inactivo,False,enero,2023-01-01,,,,,,
PT,PT_8356,"* SAZON DISPLAY X15(0,15)(8356)",activo,False,"octubre, enero, marzo",2026-03-01,,,,,,
PT,PT_4693,* SAZON DOYPACK VALV200GRS(4693),activo,False,"octubre, marzo, enero",2025-12-01,,,,,,
PT,PT_1851,* SAZON DOYPACK VALV400GRS(1851),activo,False,"diciembre, noviembre, agosto",2026-03-01,,,,,,
PT,PT_6840,* SAZON MEXICANA FCO 70 G(6840),activo,False,"febrero, marzo, diciembre",2026-03-01,,,,,,
PT,PT_9612,* SAZON MEXICANA FCO LINEAL 120G (9612),activo,False,"julio, junio, agosto",2026-02-01,,,,,,
PT,PT_8073,* SAZON MEXICANA KILO (8073),activo,False,"enero, octubre, febrero",2026-03-01,,,,,,
PT,PT_3954,* SAZONA PAVO BOTELLA 310G(3954),activo,True,"noviembre, diciembre, octubre",2025-12-01,,,,,,
PT,PT_3961,* SAZONA PAVO BOTELLA 500G(3961),activo,True,"noviembre, diciembre, octubre",2026-01-01,,,,,,
PT,PT_8011,* SAZONADOR  A LAS FINAS HIERBAS KILO (8011),activo,False,"enero, octubre, diciembre",2026-03-01,,,,,,
PT,PT_9650,* SAZONADOR CARNE ROJA FCO LINEAL 14OG(9650),activo,False,"enero, septiembre, mayo",2026-03-01,,,,,,
PT,PT_7335,* SAZONADOR CARNES ROJA FCO70G(7335),activo,False,"enero, febrero, marzo",2026-03-01,,,,,,
PT,PT_8035,* SAZONADOR CARNES ROJAS KILO (8035),activo,False,"septiembre, enero, octubre",2026-01-01,,,,,,
PT,PT_8547,* SAZONADOR CERDO FCO 60 GRS(8547),activo,False,"enero, diciembre, febrero",2026-03-01,,,,,,
PT,PT_9643,* SAZONADOR CERDO FCO LINEAL 140G(9643),activo,False,"enero, noviembre, agosto",2026-03-01,,,,,,
PT,PT_8059,* SAZONADOR CERDO KILO (8059),activo,False,"mayo, septiembre, abril",2026-03-01,,,,,,
PT,PT_2780,* SAZONADOR FINAS HIER FCO 450 GR (2780),activo,False,"marzo, octubre, agosto",2026-02-01,,,,,,
PT,PT_7298,* SAZONADOR FINAS HIER FCO 50G(7298),activo,False,"enero, diciembre, marzo",2026-03-01,,,,,,
PT,PT_6994,* SAZONADOR FINAS HIER FDA 100G(6994)..,activo,False,"enero, marzo, septiembre",2026-03-01,,,,,,
PT,PT_9681,* SAZONADOR FINAS HIERBAS LIN100G(9681),activo,False,"marzo, diciembre, enero",2026-03-01,,,,,,
PT,PT_9636,* SAZONADOR PESCADO FCO LINEAL 140G(9636),activo,False,"febrero, marzo, agosto",2026-03-01,,,,,,
PT,PT_7311,* SAZONADOR PESCADO FRASCO 70G(7311),activo,False,"enero, febrero, marzo",2026-03-01,,,,,,
PT,PT_8042,* SAZONADOR PESCADO KILO (8042),activo,False,"octubre, abril, noviembre",2025-11-01,,,,,,
PT,PT_7328,* SAZONADOR POLLO FCO 70G(7328),activo,False,"enero, octubre, diciembre",2026-03-01,,,,,,
PT,PT_9629,* SAZONADOR POLLO FCO LINEAL 140G (9629),activo,False,"enero, marzo, septiembre",2026-03-01,,,,,,
